ZIP,pop_density,urban
4743,34.04672,False
4745,37.08261,False
4746,13.41968,False
4747,8.51769,False
4750,30.01453,False
4756,182.8387,False
4757,21.87594,False
4758,43.5996,False
4760,7.477222,False
4761,25.88603,False
4762,16.06827,False
4763,20.42458,False
4764,0.7312549,False
4765,2.078316,False
4766,10.97637,False
4768,2.145026,False
4769,123.7901,False
4772,23.595,False
4773,17.79056,False
4774,3.395729,False
4776,10.49953,False
4777,4.660438,False
4779,2.639031,False
4780,2.689098,False
4781,10.41584,False
4783,8.357109,False
4785,24.89433,False
4786,26.48286,False
4787,15.85427,False
4841,563.2634,False
4843,261.9973,False
4847,75.40852,False
4848,54.58634,False
4849,62.14117,False
4851,26.26873,False
4852,39.98692,False
4853,38.25937,False
4854,185.3146,False
4855,139.7119,False
4856,154.4927,False
4858,125.3677,False
4859,90.09707,False
4860,95.81657,False
4861,253.0898,False
4862,57.38627,False
4863,52.42821,False
4864,101.5672,False
4901,334.1983,False
4910,45.89625,False
4911,32.72516,False
4912,18.3217,False
4915,118.9688,False
4917,73.95368,False
4918,61.49887,False
4920,6.439547,False
4921,32.1997,False
4922,31.19007,False
4923,23.22327,False
4924,55.32584,False
4925,2.339473,False
4926,332.7917,False
4927,77.24496,False
4928,54.65666,False
4929,43.40173,False
4930,78.8446,False
4932,32.73742,False
4933,732.1642,False
4936,0.3243536,False
4937,123.2652,False
4938,79.0042,False
4939,33.20936,False
4940,0.0,False
4941,22.52931,False
4942,8.359247,False
4943,45.43402,False
4944,41.05943,False
4945,1.07999,False
4947,12.65962,False
4949,31.72998,False
4950,91.51911,False
4951,23.35235,False
4952,60.70337,False
4953,108.323,False
4955,33.0103,False
4956,19.3194,False
4957,52.13326,False
4958,37.04202,False
4961,3.186325,False
4962,2324.836,True
4963,143.9455,False
4964,1.637407,False
4965,52.97483,False
4966,9.054118,False
4967,85.47129,False
4969,46.69137,False
4970,6.731503,False
4971,48.15731,False
4973,45.2622,False
4974,92.31112,False
