zip,qualified,kw_total
21212,8129,69269
21213,13060,126326
21214,6055,49015.75
21215,16311,210309.75
21216,10459,97005.75
21217,11711,110742.25
21218,13591,150203.5
21219,3407,87943.5
21220,6438,107687.75
21221,11332,162521.75
21222,15882,206855.75
21223,10736,127813.75
21224,16420,294344.5
21225,9168,108746
21226,3349,150987.5
21227,10540,219016.25
21228,13184,180139.5
21229,12459,113956.75
21230,11451,244667
21231,4241,49477
21233,3,3921.75
21234,19390,197427
21236,11346,151053.5
21237,8590,193265
21239,6831,56369.75
21240,82,20272.5
21244,8205,156077.75
21250,49,7382
21251,12,1930.75
21252,30,6336.25
21278,1,997
21286,4425,93672.25
21287,10,2716.25
21502,12652,203715.75
21529,215,2140.25
21532,0,
21545,42,402
21560,2,25.5
21713,21,318.25
21722,1,145.75
21733,3,328.25
21734,81,605
21740,16137,359999.75
21742,6529,152622.25
21746,26,4250.75
21767,410,5732.5
21795,2080,77396.75
21801,7582,168839.75
21804,8005,171166
21810,12,178
21822,321,5924.25
21826,1329,23316
21830,1135,15563.25
21837,1,17
21849,11,198
21856,5,50.5
21875,1195,20085
22003,3646,49952.75
22015,5891,66077
22027,584,6828.75
22030,8041,176898.75
22031,4185,90166.25
22032,3880,52889
22033,6413,107905
22035,5,2272.25
22039,155,1840.25
22042,647,29686.25
22043,1324,19935
22046,33,733.25
22066,2418,34408.25
22101,7,174
22102,2460,75528.75
22124,3003,42554.5
22150,44,6695.5
22151,1326,26202.5
22152,3648,54194.75
22153,1328,16011.25
22180,4406,61831.75
22181,2366,35019
22182,6365,116641
22201,77,466.25
22202,45,11773.5
22209,299,10363
22314,6,113
22400,1,5.75
22601,7707,203482.5
22602,4924,144046.75
22603,2133,120922.75
22620,6,107.25
22624,78,2565.75
22630,1,2.75
22655,4386,61685
22656,664,8291.5
22663,447,8898.75
22801,8295,233955.5
22802,5394,110541.25
22807,25,7793.5
22812,1156,28627.5
22821,517,13258.75
22827,3,7.5
22831,15,212.5
22832,92,1483.5
22841,463,33351.75
22846,293,5643
22901,6101,127928.75
22902,4242,69908.25
22903,4994,116206.75
22911,3215,55566.5
22936,398,4019.75
22939,1026,23119.25
22940,1,2
22947,21,426.5
22952,170,7050.75
22980,6914,115925.75
23005,3893,167566.75
23030,13,164
23059,9457,144119.75
23060,9632,142810.25
23069,196,2242
23075,3087,29026.25
23103,441,7762.25
23111,10158,143899.25
23112,8126,149472.75
23113,4866,87641
23114,3639,54057
23116,6906,105277.5
23120,960,11348.25
23146,107,2298
23150,2693,62831.5
23173,18,2093.75
23219,852,49577
23220,7344,136467.25
23221,4087,41376.75
23222,7010,108111.5
23223,13137,178504.75
23224,7819,240835
23225,6658,128495
23226,4128,52272
23227,5388,99347.25
23228,8260,168056.75
23229,5559,86712.5
23230,2434,137263
23231,10714,227182
23232,1,1432.25
23233,5750,98101.5
23234,9493,236195.75
23235,4913,107006
23236,4758,92579.5
23237,6416,178386.5
23238,4828,75601.75
23249,4,2042.25
23250,104,20258.75
23269,3,1236.5
23273,12,1419
23284,72,4251.75
23294,3288,75970
23298,22,4300.5
23314,3,46.75
23320,14999,353664.25
23321,9881,153796.25
23322,15473,212498
23323,11320,227267.75
23324,6169,126632
23325,4810,75786.75
23326,3,4716
23432,5,90.25
23433,474,6408.5
23434,13669,277580.25
23435,8714,145840.75
23436,244,2763
23451,10217,191490.75
23452,13866,265634.5
23453,10248,155731.25
23454,16807,312505.25
23455,13680,255898.75
23456,17287,244725.5
23457,44,690.5
23459,132,4763.75
23460,378,30875
23461,70,9741.5
23462,16566,284103.75
23464,21557,295924
23501,1,2448
23502,5849,220392.5
23503,6906,91593
23504,4923,98339.25
23505,5402,110449.75
23507,1361,29894.25
23508,3818,59651.75
23509,3668,43201.25
23510,632,46862.25
23511,710,70139
23513,7209,117705.75
23515,3,268
23517,1238,40570.75
23518,7766,122190.5
23523,1946,41404.75
23551,190,9775.25
23601,7439,126262
23602,9228,160096.5
23603,60,31239.25
23604,870,49553.75
23605,3784,74492.25
23606,4948,148038.25
23607,6884,147208.75
23608,8749,130570
23651,212,8516.5
23661,5043,98336.75
23662,4152,54253.5
23663,4337,48730.5
23664,3773,39086
23665,1056,54715.25
23666,14157,271614.25
23668,10,180.5
23669,11706,156508.25
23681,148,17531.25
